class template, instantiations, multiple overload instantiations, loc, definition file path, line
SimpleNamedThingContainer, //0, //0, //67, //toolkit/source/controls/dialogcontrol.cxx, //83
comphelper::OSequenceIterator, //6, //2, //50, //comphelper/inc/comphelper/sequence.hxx, //125
store::OStoreHandle, //0, //0, //13, //store/source/store.cxx, //44
vcl::ScopedBitmapAccess, //1, //1, //35, //vcl/inc/vcl/scopedbitmapaccess.hxx, //55
ST_List, //13, //1, //170, //soltools/inc/st_list.hxx, //28
ucb_impl::RegexpMap, //3, //2, //26, //ucb/source/inc/regexpmap.hxx, //118
utl::SharedUNOComponent, //12, //1, //126, //unotools/inc/unotools/sharedunocomponent.hxx, //144
csv::SweListIterator, //4, //2, //21, //cosv/inc/cosv/tpl/swelist.hxx, //156
csv::SweList_dyn, //8, //3, //95, //cosv/inc/cosv/tpl/swelist.hxx, //113
csv::Processor, //2, //1, //11, //cosv/inc/cosv/tpl/processor.hxx, //88
sfx::ListBoxWrapper, //4, //2, //28, //sfx2/inc/sfx2/controlwrapper.hxx, //344
sfx::MetricConnection, //5, //4, //17, //sfx2/inc/sfx2/itemconnect.hxx, //339
sfx::MetricFieldWrapper, //6, //2, //33, //sfx2/inc/sfx2/controlwrapper.hxx, //309
sfx::NumericConnection, //5, //4, //17, //sfx2/inc/sfx2/itemconnect.hxx, //308
sfx::NumericFieldWrapper, //6, //2, //31, //sfx2/inc/sfx2/controlwrapper.hxx, //277
basic::OAutoRegistration, //0, //0, //9, //basic/source/uno/sbmodule.hxx, //65
basic::OSingletonRegistration, //0, //0, //9, //basic/source/uno/sbmodule.hxx, //78
o3tl::detail::simple_pool_impl, //0, //0, //43, //o3tl/inc/o3tl/vector_pool.hxx, //30
ScRefHdlrImplBase, //4, //1, //30, //sc/source/ui/inc/anyrefdg.hxx, //193
osl::LongPathBuffer, //4, //3, //29, //sal/osl/w32/path_helper.hxx, //70
canvas::DisambiguationHelper, //0, //0, //19, //canvas/inc/canvas/base/disambiguationhelper.hxx, //54
canvas::CanvasCustomSpriteBase, //0, //0, //123, //canvas/inc/canvas/base/canvascustomspritebase.hxx, //86
rtl_Instance, //5, //2, //80, //sal/inc/rtl/instance.hxx, //273
COMPMOD_NAMESPACE::OMultiInstanceAutoRegistration, //2, //1, //21, //extensions/source/inc/componentmodule.hxx, //170
COMPMOD_NAMESPACE::OOneInstanceAutoRegistration, //2, //1, //21, //extensions/source/inc/componentmodule.hxx, //212
bridges::cpp_uno::shared::GuardedArray, //2, //2, //11, //bridges/source/cpp_uno/shared/guardedarray.hxx, //25
o3tl::LazyUpdate, //0, //0, //20, //o3tl/inc/o3tl/lazy_update.hxx, //176
o3tl::LazyUpdate, //0, //0, //29, //o3tl/inc/o3tl/lazy_update.hxx, //199
o3tl::LazyUpdate, //0, //0, //29, //o3tl/inc/o3tl/lazy_update.hxx, //231
o3tl::detail::LazyUpdateImpl, //1, //0, //31, //o3tl/inc/o3tl/lazy_update.hxx, //64
comphelper::OListenerContainerBase, //2, //2, //42, //comphelper/inc/comphelper/listenernotification.hxx, //241
frm::EventListeners, //0, //0, //36, //forms/source/inc/listenercontainers.hxx, //36
framework::SetNodeHash, //5, //5, //20, //framework/inc/classes/filtercachedata.hxx, //442
myImplHelpers::StyleMapperImpl, //4, //2, //57, //sw/source/filter/ww8/writerwordglue.cxx, //245
sdr::table::RangeIterator, //0, //0, //35, //svx/source/table/celltypes.hxx, //63
TrueColorPixelPtr, //20, //5, //11, //vcl/source/gdi/bmpfast.cxx, //57
connectivity::ORefVector, //0, //0, //41, //connectivity/inc/connectivity/CommonTools.hxx, //67
connectivity::ORowVector, //0, //0, //7, //connectivity/inc/connectivity/CommonTools.hxx, //119
ComPtr, //2, //1, //125, //fpicker/source/win32/filepicker/comptr.hxx, //30
ArrayOfArrayProc, //0, //0, //12, //sc/source/ui/unoobj/funcuno.cxx, //513
SequencesContainer, //1, //1, //41, //sc/source/ui/unoobj/funcuno.cxx, //467
oox::Matrix, //4, //2, //49, //oox/inc/oox/helper/containerhelper.hxx, //93
basebmp::PackedPixelColumnIterator, //1, //1, //135, //basebmp/inc/basebmp/packedpixeliterator.hxx, //64
basebmp::PackedPixelRowIterator, //1, //1, //177, //basebmp/inc/basebmp/packedpixeliterator.hxx, //235
bridges::cpp_uno::shared::ArrayPointer, //3, //3, //10, //bridges/inc/bridges/cpp_uno/shared/arraypointer.hxx, //30
connectivity::jdbc::LocalRef, //4, //2, //42, //connectivity/source/inc/java/LocalRef.hxx, //40
AutoDeleter, //0, //0, //14, //unotools/source/config/configitem.cxx, //135
canvas::GraphicDeviceBase, //1, //1, //216, //canvas/inc/canvas/base/graphicdevicebase.hxx, //112
