class template, instantiations, multiple overload instantiations, loc, definition file path, line
osl::ClearableGuard, //2, //2, //30, //sal/inc/osl/mutex.hxx, //166
ScVbaPageBreak, //7, //1, //91, //sc/source/ui/vba/vbapagebreak.hxx, //43
comphelper::module::OSingletonRegistration, //2, //2, //9, //comphelper/source/inc/comphelper_module.hxx, //77
sfx::ListBoxConnection, //7, //6, //18, //sfx2/inc/sfx2/itemconnect.hxx, //379
sfx::ValueSetConnection, //6, //5, //18, //sfx2/inc/sfx2/itemconnect.hxx, //411
csv::StringData, //9, //2, //52, //cosv/inc/cosv/stringdata.hxx, //44
ary::stg::Base, //16, //1, //91, //autodoc/source/ary/inc/store/s_base.hxx, //54
ary::stg::const_filter_iterator, //3, //2, //32, //autodoc/source/ary/inc/store/s_iterator.hxx, //196
ary::stg::const_iterator, //5, //2, //29, //autodoc/source/ary/inc/store/s_iterator.hxx, //94
ary::stg::filter_iterator, //5, //4, //29, //autodoc/source/ary/inc/store/s_iterator.hxx, //146
ary::stg::iterator, //5, //2, //27, //autodoc/source/ary/inc/store/s_iterator.hxx, //54
frm::OMultiInstanceAutoRegistration, //4, //1, //21, //forms/source/inc/forms_module.hxx, //130
frm::OOneInstanceAutoRegistration, //4, //1, //21, //forms/source/inc/forms_module.hxx, //173
ww8::WW8Sttb, //2, //1, //63, //sw/source/filter/ww8/WW8Sttbf.hxx, //67
connectivity::jdbc::GlobalRef, //2, //1, //56, //connectivity/source/inc/java/GlobalRef.hxx, //51
connectivity::jdbc::LocalRef, //4, //2, //42, //connectivity/source/inc/java/LocalRef.hxx, //52
vcl::solarthread::detail::GenericSolarThreadExecutor, //4, //3, //35, //vcl/inc/vcl/threadex.hxx, //76
vcl::solarthread::detail::GenericSolarThreadExecutor, //0, //0, //34, //vcl/inc/vcl/threadex.hxx, //119
vcl::solarthread::detail::copy_back_wrapper, //3, //1, //24, //vcl/inc/vcl/threadex.hxx, //158
FindEnclosingRange, //0, //0, //12, //sc/source/core/tool/rangelst.cxx, //56
FindIntersectingRange, //0, //0, //12, //sc/source/core/tool/rangelst.cxx, //70
osl::DebugBase, //2, //1, //22, //sal/inc/osl/diagnose.hxx, //175
bridges::cpp_uno::shared::GuardedArray, //2, //2, //11, //bridges/source/cpp_uno/shared/guardedarray.hxx, //34
rtl_Instance, //5, //2, //80, //sal/inc/rtl/instance.hxx, //273
logging::ComponentMethodGuard, //2, //2, //22, //extensions/source/logging/methodguard.hxx, //44
OGeometryControlModel, //4, //1, //41, //toolkit/inc/toolkit/controls/geometrycontrolmodel.hxx, //190
OTemplateInstanceDisambiguation, //1, //1, //3, //toolkit/inc/toolkit/controls/geometrycontrolmodel.hxx, //179
canvas::CanvasBase, //1, //1, //285, //canvas/inc/canvas/base/canvasbase.hxx, //106
sdbtools::OAutoRegistration, //0, //0, //3, //dbaccess/source/sdbtools/inc/module_sdbt.hxx, //39
sdbtools::OSingletonRegistration, //0, //0, //3, //dbaccess/source/sdbtools/inc/module_sdbt.hxx, //39
sfx::ListBoxWrapper, //4, //2, //28, //sfx2/inc/sfx2/controlwrapper.hxx, //353
sfx::MetricConnection, //5, //4, //17, //sfx2/inc/sfx2/itemconnect.hxx, //348
sfx::MetricFieldWrapper, //6, //2, //33, //sfx2/inc/sfx2/controlwrapper.hxx, //318
sfx::NumericConnection, //5, //4, //17, //sfx2/inc/sfx2/itemconnect.hxx, //317
sfx::NumericFieldWrapper, //6, //2, //31, //sfx2/inc/sfx2/controlwrapper.hxx, //286
basic::OAutoRegistration, //0, //0, //9, //basic/source/uno/sbmodule.hxx, //65
basic::OSingletonRegistration, //0, //0, //9, //basic/source/uno/sbmodule.hxx, //78
o3tl::detail::simple_pool_impl, //0, //0, //43, //o3tl/inc/o3tl/vector_pool.hxx, //39
ScRefHdlrImplBase, //3, //0, //24, //sc/source/ui/inc/anyrefdg.hxx, //192
cppu::AggImplInheritanceHelper2, //1, //1, //52, //cppuhelper/inc/cppuhelper/implbase2.hxx, //237
cppu::ImplHelper2, //1, //1, //13, //cppuhelper/inc/cppuhelper/implbase2.hxx, //74
cppu::ImplInheritanceHelper2, //2, //1, //50, //cppuhelper/inc/cppuhelper/implbase2.hxx, //168
cppu::WeakAggImplHelper2, //1, //1, //20, //cppuhelper/inc/cppuhelper/implbase2.hxx, //130
cppu::WeakImplHelper2, //4, //2, //18, //cppuhelper/inc/cppuhelper/implbase2.hxx, //97
CFGuard, //0, //0, //8, //sal/osl/unx/osxlocale.cxx, //45
ScCompressedArray, //18, //1, //328, //sc/inc/compressedarray.hxx, //65
ScCompressedArrayIterator, //17, //2, //140, //sc/inc/compressedarray.hxx, //196
