class template, instantiations, multiple overload instantiations, loc, definition file path, line
function template, instantiations, multiple overload instantiations, loc, definition file path, line
MCValueAssign, //219, //33, //6, //libfoundation/include/foundation.h, //1233
MCValueRetain, //997, //38, //4, //libfoundation/include/foundation.h, //1227
MCDeployToELF, //3, //1, //158, //engine/src/deploy_linux.cpp, //654
MCDeployToLinuxReadHeader, //3, //1, //29, //engine/src/deploy_linux.cpp, //456
MCDeployToLinuxReadProgramHeaders, //3, //1, //15, //engine/src/deploy_linux.cpp, //524
MCDeployToLinuxReadSectionHeaders, //3, //1, //15, //engine/src/deploy_linux.cpp, //499
MCDeployToLinuxReadString, //3, //1, //52, //engine/src/deploy_linux.cpp, //549
basic_imaging_combiner, //93, //1, //99, //engine/src/combiners.cpp, //550
MCMemoryDelete, //5, //4, //5, //libcore/include/core.h, //284
MCMemoryDeleteArray, //288, //75, //4, //libfoundation/include/foundation.h, //1051
MCMemoryReallocate, //26, //20, //10, //libfoundation/include/foundation.h, //935
MCMin, //133, //52, //1, //libfoundation/include/foundation.h, //636
advanced_imaging_combiner, //93, //1, //206, //engine/src/combiners.cpp, //651
MCMax, //107, //34, //1, //libfoundation/include/foundation.h, //649
MCPropertyObjectListThunk, //0, //0, //4, //engine/src/exec.h, //313
MCPropertyObjectThunk, //0, //0, //4, //engine/src/exec.h, //298
MCGradientFillBlend, //0, //0, //80, //libgraphics/src/legacygradients.cpp, //390
bitwise_combiner, //93, //1, //87, //engine/src/combiners.cpp, //323
MCListPopBack, //0, //0, //8, //libcore/include/core.h, //616
blend_row, //9, //1, //76, //libgraphics/src/legacygradients.cpp, //573
__MCValueCreate, //44, //16, //7, //libfoundation/src/foundation-private.h, //424
MCExpression::eval, //14, //1, //4, //engine/src/express.h, //86
MCMemoryAllocate, //62, //27, //10, //libfoundation/include/foundation.h, //913
MCMemoryAllocateCopy, //23, //14, //10, //libfoundation/include/foundation.h, //924
surface_combine, //0, //0, //27, //engine/src/combiners.cpp, //890
MCGradientFillBilinearCombine, //0, //0, //41, //libgraphics/src/legacygradients.cpp, //723
MCMemoryNewArray, //9, //7, //7, //libfoundation/include/foundation.h, //1023
MCValueCreateCustom, //15, //15, //7, //libfoundation/include/foundation.h, //1256
MCValueInter, //18, //14, //7, //libfoundation/include/foundation.h, //1240
MCValueInterAndRelease, //15, //4, //7, //libfoundation/include/foundation.h, //1248
MCExecNativeControlThunk, //0, //0, //4, //engine/src/exec.h, //1124
MCPropertyNativeControlThunk, //0, //0, //4, //engine/src/exec.h, //1043
MCMetaContext::new_array, //8, //1, //4, //engine/src/metacontext.cpp, //1040
heap_t::allocate, //5, //1, //4, //engine/src/metacontext.h, //70
heap_t::allocate, //3, //1, //12, //engine/src/metacontext.h, //80
heap_t::allocate_array, //1, //1, //4, //engine/src/metacontext.h, //75
MCMemoryAllocateArrayCopy, //1, //1, //8, //engine/src/module-canvas.cpp, //41
_mcenumfromstring, //6, //6, //12, //engine/src/module-canvas.cpp, //5474
_mcenumtostring, //6, //6, //9, //engine/src/module-canvas.cpp, //5489
MCPurchasePropertyThunk, //0, //0, //4, //engine/src/exec.h, //1187
MCGradientFillCombine, //0, //0, //79, //libgraphics/src/legacygradients.cpp, //482
MCPropertyObjectPartThunk, //0, //0, //4, //engine/src/exec.h, //303
MCListPushBack, //1, //1, //7, //libcore/include/core.h, //608
MCGradientFillBilinearBlend, //0, //0, //47, //libgraphics/src/legacygradients.cpp, //665
class_factory, //0, //0, //1, //engine/src/mode_test.cpp, //264
MCMemoryResizeArray, //2, //1, //8, //libcore/include/core.h, //324
fastmin, //6, //1, //4, //engine/src/combiners.cpp, //313
compute_index, //68, //2, //93, //libgraphics/src/legacygradients.cpp, //294
MCPropertyArrayThunk, //0, //0, //4, //engine/src/exec.h, //438
MCPropertyListThunk, //0, //0, //4, //engine/src/exec.h, //448
MCPropertyThunk, //0, //0, //4, //engine/src/exec.h, //443
MCMemoryNewArray, //6, //4, //7, //libcore/include/core.h, //316
arithmetic_combiner, //93, //1, //113, //engine/src/combiners.cpp, //421
MCMemoryNewArray, //191, //101, //7, //libfoundation/include/foundation.h, //1031
MCPropertyObjectRecordPropThunk, //0, //0, //7, //engine/src/exec.h, //1014
MCPropertyObjectRecordThunk, //0, //0, //4, //engine/src/exec.h, //1022
MCExecNativeControlThunk, //0, //0, //4, //engine/src/exec.h, //1109
MCMemoryReallocate, //5, //4, //10, //libcore/include/core.h, //232
MCScriptReleaseArray, //1, //1, //4, //libscript/src/script-private.h, //71
MCDebugAllocate, //2, //2, //11, //engine/src/srvdbgvar.cpp, //37
