class template, instantiations, multiple overload instantiations, loc, definition file path, line
VCLListBoxHelper, //0, //0, //122, //main/accessibility/inc/accessibility/helper/listboxhelper.hxx, //46
pcr::ControlWindow, //2, //2, //21, //main/extensions/source/propctrlr/commoncontrol.hxx, //51
pcr::ListLikeControlWithModifyHandler, //0, //0, //13, //main/extensions/source/propctrlr/standardcontrol.hxx, //65
pcr::StlSyntaxSequence, //2, //1, //28, //main/extensions/source/propctrlr/pcrcommon.hxx, //88
ScVbaCondition, //7, //0, //140, //main/sc/source/ui/vba/vbacondition.hxx, //35
o3tl::range, //39, //5, //84, //main/o3tl/inc/o3tl/range.hxx, //48
comphelper::mem_fun1_t, //2, //2, //9, //main/comphelper/inc/comphelper/stl_types.hxx, //176
xforms::ODerivedDataType, //3, //3, //12, //main/forms/source/xforms/datatypes.hxx, //261
xforms::OValueLimitedType, //1, //1, //10, //main/forms/source/xforms/datatypes.hxx, //241
comphelper::OAggregationArrayUsageHelper, //1, //1, //20, //main/comphelper/inc/comphelper/proparrhlp.hxx, //101
OGeometryControlModel, //4, //1, //41, //main/toolkit/inc/toolkit/controls/geometrycontrolmodel.hxx, //183
OTemplateInstanceDisambiguation, //1, //1, //3, //main/toolkit/inc/toolkit/controls/geometrycontrolmodel.hxx, //172
safe_list, //1, //1, //1, //main/extensions/inc/ucbhelper/ext_content.hxx, //59
CLockGuard, //1, //1, //15, //main/sal/inc/systools/win32/SyncObjects.hxx, //43
RegistryValueList, //16, //3, //44, //main/registry/inc/registry/registry.hxx, //329
connectivity::ODeleteVector, //0, //0, //9, //main/connectivity/inc/connectivity/FValue.hxx, //421
connectivity::ORowVector, //0, //0, //7, //main/connectivity/inc/connectivity/CommonTools.hxx, //125
ary::doc::Parametrized, //6, //0, //54, //main/autodoc/inc/ary/doc/d_parametrized.hxx, //44
basegfx::internal::ImplHomMatrixTemplate, //2, //1, //405, //main/basegfx/source/inc/hommatrixtemplate.hxx, //85
basegfx::internal::ImplMatLine, //3, //1, //31, //main/basegfx/source/inc/hommatrixtemplate.hxx, //48
cppu::AggImplInheritanceHelper3, //1, //1, //52, //main/cppuhelper/inc/cppuhelper/implbase3.hxx, //238
cppu::ImplHelper3, //1, //1, //13, //main/cppuhelper/inc/cppuhelper/implbase3.hxx, //74
cppu::ImplInheritanceHelper3, //1, //1, //50, //main/cppuhelper/inc/cppuhelper/implbase3.hxx, //169
cppu::WeakAggImplHelper3, //1, //1, //20, //main/cppuhelper/inc/cppuhelper/implbase3.hxx, //130
cppu::WeakImplHelper3, //3, //1, //18, //main/cppuhelper/inc/cppuhelper/implbase3.hxx, //97
PageHolderObject, //16, //2, //92, //main/store/workben/t_page.cxx, //328
ww::SortedArray, //1, //1, //64, //main/sw/source/filter/ww8/sortedarray.hxx, //48
canvas::CanvasBase, //1, //1, //288, //main/canvas/inc/canvas/base/canvasbase.hxx, //105
csv::range, //17, //7, //84, //main/cosv/inc/cosv/tpl/range.hxx, //49
pcr::CommonBehaviourControl, //3, //1, //52, //main/extensions/source/propctrlr/commoncontrol.hxx, //186
sd::ShellFactory, //0, //0, //10, //main/sd/source/ui/inc/ShellFactory.hxx, //46
cppu::WeakAggComponentImplHelper10, //1, //0, //23, //main/cppuhelper/inc/cppuhelper/compbase10.hxx, //111
cppu::WeakComponentImplHelper10, //1, //0, //27, //main/cppuhelper/inc/cppuhelper/compbase10.hxx, //60
XclExpValueRecord, //5, //2, //39, //main/sc/source/filter/inc/xerecord.hxx, //196
binaryurp::Cache, //3, //3, //75, //main/binaryurp/source/cache.hxx, //48
accessibility::HardCppRef, //1, //1, //19, //main/editeng/inc/editeng/AccessibleParaManager.hxx, //56
accessibility::WeakCppRef, //0, //0, //22, //main/editeng/inc/editeng/AccessibleParaManager.hxx, //101
rtl_Instance, //6, //3, //56, //main/sal/inc/rtl/instance.hxx, //272
ww::compile_time_check, //0, //0, //5, //main/sw/source/filter/ww8/staticassert.hxx, //40
canvas::tools::ValueMap, //2, //2, //85, //main/canvas/inc/canvas/canvastools.hxx, //525
comphelper::OListenerContainerBase, //2, //2, //42, //main/comphelper/inc/comphelper/listenernotification.hxx, //252
comphelper::OSimpleListenerContainer, //2, //1, //52, //main/comphelper/inc/comphelper/listenernotification.hxx, //179
ToolsList, //3, //1, //9, //main/svtools/inc/svtools/textdata.hxx, //175
PCodeBuffConvertor, //1, //0, //25, //main/basic/source/inc/codegen.hxx, //69
comphelper::MakeSequence, //2, //2, //15, //main/comphelper/inc/comphelper/InlineContainer.hxx, //48
writerfilter::OutputWithDepth, //10, //2, //72, //main/writerfilter/inc/resourcemodel/OutputWithDepth.hxx, //40
bridges::cpp_uno::shared::GuardedArray, //2, //2, //11, //main/bridges/source/cpp_uno/shared/guardedarray.hxx, //33
SwIterator, //0, //0, //12, //main/sw/inc/switerator.hxx, //33
slideshow::internal::FromToByActivity, //0, //0, //134, //main/slideshow/source/engine/activities/activitiesfactory.cxx, //114
slideshow::internal::SimpleActivity, //0, //0, //43, //main/slideshow/source/engine/activities/activitiesfactory.cxx, //828
slideshow::internal::ValuesActivity, //0, //0, //87, //main/slideshow/source/engine/activities/activitiesfactory.cxx, //428
canvas::SpriteCanvasBase, //1, //0, //92, //main/canvas/inc/canvas/base/spritecanvasbase.hxx, //76
cppu::AggImplInheritanceHelper9, //1, //0, //52, //main/cppuhelper/inc/cppuhelper/implbase9.hxx, //245
cppu::ImplHelper9, //1, //0, //13, //main/cppuhelper/inc/cppuhelper/implbase9.hxx, //82
cppu::ImplInheritanceHelper9, //1, //0, //50, //main/cppuhelper/inc/cppuhelper/implbase9.hxx, //176
cppu::WeakAggImplHelper9, //1, //0, //20, //main/cppuhelper/inc/cppuhelper/implbase9.hxx, //138
cppu::WeakImplHelper9, //1, //0, //18, //main/cppuhelper/inc/cppuhelper/implbase9.hxx, //105
TrueColorPixelPtr, //20, //5, //11, //main/vcl/source/gdi/bmpfast.cxx, //59
PackedPixelColumnIterator, //1, //1, //136, //main/basebmp/test/bmpdemo.cxx, //270
PackedPixelIterator, //0, //0, //131, //main/basebmp/test/bmpdemo.cxx, //695
PackedPixelRowIterator, //1, //1, //178, //main/basebmp/test/bmpdemo.cxx, //447
PaletteImageAccessor, //0, //0, //74, //main/basebmp/test/bmpdemo.cxx, //865
Renderer, //0, //0, //49, //main/basebmp/test/bmpdemo.cxx, //94
cppu::ImplHelper14, //1, //0, //316, //main/binfilter/bf_sch/source/ui/inc/ChXDiagram.hxx, //117
cppu::ImplHelperBase14, //0, //0, //6, //main/binfilter/bf_sch/source/ui/inc/ChXDiagram.hxx, //111
cppu::WeakAggImplHelper14, //1, //0, //316, //main/binfilter/bf_sch/source/ui/inc/ChXDiagram.hxx, //117
cppu::WeakImplHelper14, //1, //0, //316, //main/binfilter/bf_sch/source/ui/inc/ChXDiagram.hxx, //117
dbaui::ItemAdapter, //0, //0, //25, //main/dbaccess/source/ui/misc/propertystorage.cxx, //72
InheritedHelperInterfaceImpl, //7, //6, //37, //main/vbahelper/inc/vbahelper/vbahelperinterface.hxx, //66
comphelper::ORelease, //1, //1, //7, //main/comphelper/inc/comphelper/guarding.hxx, //47
dbaxml::OMultiInstanceAutoRegistration, //2, //0, //21, //main/dbaccess/source/inc/registrationhelper.hxx, //89
dbaxml::OOneInstanceAutoRegistration, //2, //0, //21, //main/dbaccess/source/inc/registrationhelper.hxx, //125
ST_List, //15, //2, //170, //main/soltools/inc/st_list.hxx, //36
CFGuard, //0, //0, //8, //main/sal/osl/unx/osxlocale.cxx, //42
comphelper::SettingsHelperNoState, //2, //2, //52, //main/comphelper/inc/comphelper/SettingsHelper.hxx, //53
o3tl::detail::simple_pool_impl, //0, //0, //43, //main/o3tl/inc/o3tl/vector_pool.hxx, //41
writerfilter::doctok::PLCF, //9, //2, //63, //main/writerfilter/source/doctok/PLCF.hxx, //61
connectivity::ado::WpOLEAppendCollection, //0, //0, //18, //main/connectivity/source/inc/ado/Aolewrap.hxx, //216
connectivity::ado::WpOLEBase, //6, //2, //32, //main/connectivity/source/inc/ado/Aolewrap.hxx, //82
connectivity::ado::WpOLECollection, //0, //0, //64, //main/connectivity/source/inc/ado/Aolewrap.hxx, //142
APIPropertyAccessor, //0, //0, //16, //main/forms/source/xforms/propertysetbase.hxx, //163
BooleanPropertyAccessor, //0, //0, //16, //main/forms/source/xforms/propertysetbase.hxx, //143
DirectPropertyAccessor, //0, //0, //16, //main/forms/source/xforms/propertysetbase.hxx, //123
GenericPropertyAccessor, //0, //0, //36, //main/forms/source/xforms/propertysetbase.hxx, //77
NamedCollection, //0, //0, //85, //main/forms/source/xforms/namedcollection.hxx, //38
cppu::FreeReference, //3, //1, //95, //main/cppu/inc/cppu/FreeReference.hxx, //47
wwString, //1, //1, //30, //main/sw/source/filter/ww8/ww8scan.hxx, //87
ary::SCI_DataInMap, //5, //0, //47, //main/autodoc/source/ary/inc/sci_impl.hxx, //158
ary::SCI_Map, //5, //0, //47, //main/autodoc/source/ary/inc/sci_impl.hxx, //74
ary::SCI_MultiMap, //6, //0, //57, //main/autodoc/source/ary/inc/sci_impl.hxx, //100
ary::SCI_Set, //6, //1, //49, //main/autodoc/source/ary/inc/sci_impl.hxx, //131
connectivity::ExpressionGrammar::definition, //0, //0, //61, //main/connectivity/source/commontools/RowFunctionParser.cxx, //349
writerfilter::ooxml::RefAndPointer, //0, //0, //65, //main/writerfilter/source/ooxml/RefAndPointer.hxx, //41
basebmp::ConstantColorBlendSetterAccessorAdapter, //2, //2, //77, //main/basebmp/inc/basebmp/colorblendaccessoradapter.hxx, //48
cppu::AggImplInheritanceHelper4, //1, //1, //52, //main/cppuhelper/inc/cppuhelper/implbase4.hxx, //239
cppu::ImplHelper4, //1, //1, //13, //main/cppuhelper/inc/cppuhelper/implbase4.hxx, //76
cppu::ImplInheritanceHelper4, //1, //1, //50, //main/cppuhelper/inc/cppuhelper/implbase4.hxx, //170
cppu::WeakAggImplHelper4, //1, //1, //20, //main/cppuhelper/inc/cppuhelper/implbase4.hxx, //132
cppu::WeakImplHelper4, //1, //1, //18, //main/cppuhelper/inc/cppuhelper/implbase4.hxx, //99
binfilter::PropertyWrapper, //0, //0, //14, //main/binfilter/bf_xmloff/source/chart/MultiPropertySetHandler.hxx, //81
basebmp::CompositeIterator1D, //2, //1, //31, //main/basebmp/inc/basebmp/compositeiterator.hxx, //242
basebmp::CompositeIterator2D, //2, //2, //70, //main/basebmp/inc/basebmp/compositeiterator.hxx, //285
basebmp::detail::ArithmeticProxy, //2, //2, //31, //main/basebmp/inc/basebmp/compositeiterator.hxx, //44
basebmp::detail::CompositeIteratorBase, //1, //0, //113, //main/basebmp/inc/basebmp/compositeiterator.hxx, //91
binfilter::xmloff::OSequenceIterator, //5, //1, //54, //main/binfilter/bf_xmloff/source/forms/xmloff_propertyexport.cxx, //101
