object defined with implicit instantiated type, file, line
m_resource_pack_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/OneSixInstance.h, //100
m_texture_pack_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/OneSixInstance.h, //101
m_version, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/OneSixInstance.h, //97
name_and_type, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/depends/classparser/src/constants.h, //147
ref_type, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/depends/classparser/src/constants.h, //142
[unnamed], ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/depends/classparser/src/constants.h, //124
tests, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/src/tests/TestFileUtils.cpp, //73
v, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/mdi.h, //239
v, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/mdi.h, //421
m_vMDIChild, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/mdi.h, //183
m_jarmods, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/pages/LegacyJarModPage.h, //73
m_error, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/auth/YggdrasilTask.h, //141
m_statusChecker, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/widgets/ServerStatus.h, //39
m_index_task, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/trans/TranslationDownloader.h, //28
dialog, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/src/main.cpp, //158
checker, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/pages/global/JavaPage.h, //71
checker, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/JavaCommon.h, //38
m_accounts, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/dialogs/AccountSelectDialog.h, //83
NewPartWidths, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/statusbar.h, //198
PartWidths, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/statusbar.h, //192
m_forge_json, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/forge/ForgeInstaller.h, //43
m_forge_version, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/forge/ForgeInstaller.h, //45
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/src/ProcessUtils.cpp, //384
sudoArgs, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/src/ProcessUtils.cpp, //160
