class template, instantiations, multiple overload instantiations, loc, definition file path, line
content::TaggedList, //2, //2, //49, //content/renderer/media/tagged_list.h, //24
base::SmallMap, //14, //4, //379, //base/containers/small_map.h, //185
gpu::gles2::ValueValidator, //82, //1, //36, //gpu/command_buffer/service/gles2_cmd_validation.h, //20
sync_driver::ChangeProcessor::ScopedStopObserving, //2, //1, //13, //components/sync_driver/change_processor.h, //54
ui::PlatformObject, //3, //3, //11, //ui/ozone/platform_object.h, //27
media::DecoderSelector, //14, //3, //158, //media/filters/decoder_selector.h, //33
autofill::SuggestionVectorMembersAreMatcher, //0, //0, //28, //components/autofill/core/browser/suggestion_test_helpers.h, //19
sandbox::cons::Cell, //3, //0, //12, //sandbox/linux/bpf_dsl/cons.h, //72
sandbox::cons::ListIterator, //4, //1, //15, //sandbox/linux/bpf_dsl/cons.h, //110
WTF::Deque, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //80
WTF::HashCountedSet, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //108
WTF::HashMap, //2, //2, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //117
WTF::HashSet, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //87
WTF::LinkedHashSet, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //101
WTF::ListHashSet, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //94
blink::HeapDeque, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //185
blink::HeapHashCountedSet, //1, //1, //2, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //198
blink::HeapHashMap, //2, //2, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //202
blink::HeapLinkedHashSet, //1, //1, //2, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //194
blink::HeapListHashSet, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //191
content::DeviceSensorEventPump, //0, //0, //58, //content/renderer/device_sensors/device_sensor_event_pump.h, //16
content::PlatformEventObserver, //5, //3, //49, //content/public/renderer/platform_event_observer.h, //42
base::internal::LazySysInfoValue, //6, //6, //10, //base/sys_info_internal.h, //15
views::ViewModelT, //13, //6, //8, //ui/views/view_model.h, //110
copresence::TimedMap, //3, //2, //64, //components/copresence/timed_map.h, //26
net::internal::OwnedPoolMap, //8, //4, //9, //net/socket/client_socket_pool_manager_impl.h, //39
FeatureSwitchTest, //2, //2, //9, //chrome/common/extensions/feature_switch_unittest.cc, //18
extensions::DedupingFactory, //43, //4, //98, //extensions/browser/api/declarative/deduping_factory.h, //37
cloud_devices::SelectionCapability, //12, //8, //95, //components/cloud_devices/common/description_items.h, //81
cc::TestOcclusionTracker, //0, //0, //51, //cc/test/test_occlusion_tracker.h, //16
content::SharedMemorySeqLockReader, //1, //1, //25, //content/renderer/shared_memory_seqlock_reader.h, //38
cc::ProgramBinding, //25, //25, //52, //cc/output/program_binding.h, //55
AlignedData, //3, //3, //6, //base/lazy_instance_unittest.cc, //147
syncer::TaskQueue, //13, //3, //127, //sync/internal_api/public/attachments/task_queue.h, //68
AlignedTestSingleton, //8, //4, //10, //base/memory/singleton_unittest.cc, //112
printing::internal::DriverInfo, //0, //0, //12, //printing/backend/printing_info_win.h, //42
printing::internal::PrinterInfo, //0, //0, //12, //printing/backend/printing_info_win.h, //24
AndroidProviderTask, //0, //0, //26, //chrome/browser/history/android/android_history_provider_service.cc, //24
WindowedNavigationObserver, //4, //3, //14, //chrome/browser/ui/login/login_prompt_test_utils.h, //58
extensions::SetDisjunctionPermission, //1, //1, //117, //extensions/common/permissions/set_disjunction_permission.h, //29
base::CancelableCallback, //0, //0, //40, //base/cancelable_callback.h, //59
content::SharedMemorySeqLockBuffer, //4, //2, //5, //content/common/shared_memory_seqlock_buffer.h, //22
base::internal::CheckedNumericState, //3, //2, //1, //base/numerics/safe_math_impl.h, //344
ppapi::proxy::EnterHostFromHostResource, //17, //5, //18, //ppapi/proxy/enter_proxy.h, //44
gin::Wrappable, //0, //0, //11, //gin/wrappable.h, //81
ui::EventTargetIteratorImpl, //0, //0, //18, //ui/events/event_target_iterator.h, //25
base::debug::LeakTracker, //20, //8, //46, //base/debug/leak_tracker.h, //67
base::ScopedTypeRef, //2, //1, //61, //base/mac/scoped_typeref.h, //49
sdk_util::ThreadSafeQueue, //0, //0, //29, //native_client_sdk/src/libraries/sdk_util/thread_safe_queue.h, //22
media::CdmResultPromise, //2, //0, //24, //media/blink/cdm_result_promise.h, //25
policy::TypedPolicyBuilder, //0, //0, //21, //components/policy/core/common/cloud/policy_builder.h, //121
CompareNodeToStored, //0, //0, //27, //chrome/browser/profile_resetter/jtl_interpreter.cc, //381
StoreNodeValue, //0, //0, //26, //chrome/browser/profile_resetter/jtl_interpreter.cc, //243
cc::OcclusionTrackerTest, //2, //1, //238, //cc/trees/occlusion_tracker_unittest.cc, //175
cc::OcclusionTrackerTestAnimationOpacity0OnMainThread, //0, //0, //92, //cc/trees/occlusion_tracker_unittest.cc, //1663
cc::OcclusionTrackerTestAnimationOpacity1OnMainThread, //0, //0, //92, //cc/trees/occlusion_tracker_unittest.cc, //1544
cc::OcclusionTrackerTestAnimationTranslateOnMainThread, //0, //0, //98, //cc/trees/occlusion_tracker_unittest.cc, //1773
cc::OcclusionTrackerTestBlendModeDoesNotOcclude, //0, //0, //33, //cc/trees/occlusion_tracker_unittest.cc, //2625
cc::OcclusionTrackerTestChildInRotatedChild, //0, //0, //39, //cc/trees/occlusion_tracker_unittest.cc, //634
cc::OcclusionTrackerTestCopyRequestDoesOcclude, //0, //0, //44, //cc/trees/occlusion_tracker_unittest.cc, //2796
cc::OcclusionTrackerTestDontOccludePixelsNeededForBackgroundFilter, //0, //0, //91, //cc/trees/occlusion_tracker_unittest.cc, //2151
cc::OcclusionTrackerTestDontReduceOcclusionBelowBackgroundFilter, //0, //0, //55, //cc/trees/occlusion_tracker_unittest.cc, //2352
cc::OcclusionTrackerTestDontReduceOcclusionIfBackgroundFilterIsOccluded, //0, //0, //49, //cc/trees/occlusion_tracker_unittest.cc, //2437
cc::OcclusionTrackerTestFilters, //0, //0, //75, //cc/trees/occlusion_tracker_unittest.cc, //1147
cc::OcclusionTrackerTestHiddenCopyRequestDoesNotOcclude, //0, //0, //34, //cc/trees/occlusion_tracker_unittest.cc, //2852
cc::OcclusionTrackerTestLayerBehindCameraDoesNotOcclude, //0, //0, //29, //cc/trees/occlusion_tracker_unittest.cc, //1509
cc::OcclusionTrackerTestMinimumTrackingSize, //0, //0, //34, //cc/trees/occlusion_tracker_unittest.cc, //2672
cc::OcclusionTrackerTestOccludedLayer, //0, //0, //71, //cc/trees/occlusion_tracker_unittest.cc, //2900
cc::OcclusionTrackerTestOpaqueContentsRegionEmpty, //0, //0, //27, //cc/trees/occlusion_tracker_unittest.cc, //1365
cc::OcclusionTrackerTestOpaqueContentsRegionNonEmpty, //0, //0, //47, //cc/trees/occlusion_tracker_unittest.cc, //1400
cc::OcclusionTrackerTestOverlappingSurfaceSiblings, //0, //0, //44, //cc/trees/occlusion_tracker_unittest.cc, //980
cc::OcclusionTrackerTestOverlappingSurfaceSiblingsWithTwoTransforms, //0, //0, //68, //cc/trees/occlusion_tracker_unittest.cc, //1039
cc::OcclusionTrackerTestReduceOcclusionWhenBackgroundFilterIsPartiallyOccluded, //0, //0, //84, //cc/trees/occlusion_tracker_unittest.cc, //2510
cc::OcclusionTrackerTestReplicaDoesOcclude, //0, //0, //24, //cc/trees/occlusion_tracker_unittest.cc, //1249
cc::OcclusionTrackerTestReplicaWithClipping, //0, //0, //31, //cc/trees/occlusion_tracker_unittest.cc, //1283
cc::OcclusionTrackerTestReplicaWithMask, //0, //0, //28, //cc/trees/occlusion_tracker_unittest.cc, //1326
cc::OcclusionTrackerTestRotatedChild, //0, //0, //31, //cc/trees/occlusion_tracker_unittest.cc, //558
